"TITLE","AUTHOR","PUBLISHER","LIBRARY_NM"
"유다","아모스 오즈","현대문학","광진정보"
"휴먼카인드","뤼트허르 브레흐만","인플루엔셜","광진정보"
"왜 세계사의 시간은 거꾸로 흐르는가","마르쿠스 가브리엘","타인의사유","광진정보"
"디테일 사전. [1], 도시편","안젤라 애커만","윌북","광진정보"
"이 한마디가 나를 살렸다","김미경","21세기북스","광진정보"
"메타인지 학습법","리사 손","21세기북스","광진정보"
"평일도 인생이니까","김신지","알에이치코리아 RHK","광진정보"
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365","데이비드 S 키더","위즈덤하우스","광진정보"
"엄마 심리 수업","윤우상","심플라이프","광진정보"
"더 위험한 과학책","랜들 먼로","시공사","광진정보"
"아직도 내 아이를 모른다","대니얼 J 시겔","알에이치코리아 RHK","광진정보"
"트라우마 사전","안젤라 애커만","윌북","광진정보"
"아이의 두뇌는 부부의 대화 속에서 자란다","아마노 히카리","센시오","광진정보"
"열두 살 장래 희망","박성우","창비","광진정보"
"가짜 뉴스를 시작하겠습니다","김경옥","내일을여는책","광진정보"
"갑자기 악어 아빠","소연","비룡소","광진정보"
"인간으로 사는 일은 하나의 문제입니다","김영민","어크로스","광진정보"
"미워하는 미워하는 미워하는 마음 없이","유지혜","김영사","광진정보"
"마음의 심연","프랑수아즈 사강","민음사","광진정보"
"다정소감","김혼비","안온북스","광진정보"
"우리말 어감사전 : 말의 속뜻을 잘 이해하고 표현하는 법","안상순","유유","광진정보"
"메타버스 = Metaverse : 디지털 지구, 뜨는 것들의 세상","김상균","플랜비디자인","광진정보"
"엄마 도감","권정민","웅진주니어","광진정보"
"NFT 레볼루션","성소라","더퀘스트","광진정보"
"오늘도 상처받았나요?","마스다 미리","이봄","광진정보"
"오늘부터 배프! 베프!","지안","문학동네","광진정보"
"트렌드 코리아. 2022","김난도","미래의창","광진정보"
"오늘은 용돈 받는 날","연유진","풀빛","광진정보"
"아빠 자판기","조경희","노란돼지","광진정보"
"작별하지 않는다 : 한강 장편소설","한강","문학동네","광진정보"
"방금 떠나온 세계 : 김초엽 소설집","김초엽","한겨레출판","광진정보"
"오은영의 화해","오은영","코리아닷컴","광진정보"
"그냥 하지 말라 : 당신의 모든 것이 메시지다","송길영","북스톤","광진정보"
"인생을 바꾼 식사의 기적","김남희","북테이블","광진정보"
"1차원이 되고 싶어 : 박상영 장편소설","박상영","문학동네","광진정보"
"주식투자 절대 원칙","박영옥","센시오","광진정보"
"행성어 서점","김초엽","마음산책","광진정보"
"돈의 시나리오","김종봉","다산북스","광진정보"
"일기","황정은","창비","광진정보"
"럭키 : 내 안에 잠든 운을 깨우는 7가지 법칙","김도윤","북로망스","광진정보"
"웰씽킹 : 부를 창조하는 생각의 뿌리","켈리 최","다산북스","광진정보"
"카레부부의 주말여행 버킷리스트","조유리","길벗","광진정보"
"불편한 편의점 : 김호연 장편소설","김호연","나무옆의자","광진정보"
"엄마 자판기","조경희","노란돼지","광진정보"
"서찰을 전하는 아이","한윤섭","푸른숲주니어","광진정보"
"완전한 행복 : 정유정 장편소설","정유정","은행나무","광진정보"
"공정하다는 착각 : 능력주의는 모두에게 같은 기회를 제공하는가","마이클 샌델","와이즈베리","광진정보"
"이수정 이다혜의 범죄 영화 프로파일","이수정","민음사","광진정보"
"거꾸로 읽는 세계사","유시민","돌베개","광진정보"
"위풍당당 여우 꼬리 . 1 , 으스스 미션 캠프","손원평","창비","광진정보"
"크리스마스 피그","J K 롤링","문학수첩","광진정보"
"장수탕 선녀님","백희나","책읽는곰","광진정보"
"양순이네 떡집","김리리","비룡소","광진정보"
"세금 내는 아이들","옥효진","한국경제신문","광진정보"
"몬스터 차일드","이재문","사계절","광진정보"
"이것저것들의 하루","마이크 바필드","위즈덤하우스","광진정보"
"욕 좀 하는 이유나","류재향","위즈덤하우스","광진정보"
"형제자매는 한 팀","니콜라 슈미트","지식너머","광진정보"
"담을 넘은 아이","김정민","비룡소","광진정보"
"내 인생 최고의 하루","이승민","풀빛","광진정보"
"나는 여덟 살, 학교에 갑니다","김해선","주니어김영사","광진정보"
"걱정 세탁소","홍민정","좋은책어린이","광진정보"
"(10대를 위한)정의란 무엇인가","마이클 샌델","미래엔아이세움","광진정보"
"밝은 밤 : 최은영 장편소설","최은영","문학동네","광진정보"
"지구 끝의 온실 : 김초엽 장편소설","김초엽","자이언트북스","광진정보"
"베서니와 괴물의 복수","잭 메기트 필립스","요요","광진정보"
"뭐가 되고 싶냐는 어른들의 질문에 대답하는 법","알랭 드 보통","미래엔아이세움","광진정보"
"떡볶이는 달다","홍민정","단비어린이","광진정보"
"수학 잘하는 아이는 이렇게 공부합니다","류승재","블루무스","광진정보"
"메타버스 새로운 기회","김상균","베가북스","광진정보"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키","모모","광진정보"
"이어령의 마지막 수업","김지수","열림원","광진정보"
"하늘에서 돌이 쿵!","존 클라센","시공주니어","광진정보"
"작은 별이지만 빛나고 있어","소윤","북로망스","광진정보"
"(초등학생이 알아야 할) 참 쉬운 정치","알렉스 프리스","어스본코리아","광진정보"
"아몬드","손원평","창비","광진정보"
"대한민국 부동산 사용설명서","김학렬","에프엔미디어","광진정보"
"임계장 이야기","조정진","후마니타스","광진정보"
"멋진 신세계","올더스 헉슬리","소담출판사","광진정보"
"히틀러의 음식을 먹는 여자들","로셀라 포스토리노","문예출판사","광진정보"
"돈의 흐름이 보이는 회계 이야기","구상수","길벗","광진정보"
"4학년 5반 불평쟁이들","전은지","책읽는곰","광진정보"
"채사장의 지대넓얕 . 1 , 권력의 탄생","채사장","돌핀북","광진정보"
"바늘과 가죽의 시(詩) : 구병모 소설","구병모","현대문학","광진정보"
